MONTH,DAY,DOY,TMAX,TMIN,RH,pWet,WetAmount
3,5,64,31.6,19.8,78.0,0.4,17.85
3,6,65,31.0,19.6,81.0,0.4,14.6
3,7,66,32.0,17.8,83.0,0.6,9.6
3,8,67,31.5,18.5,81.0,0.2,0.5
3,9,68,32.0,18.8,83.0,0.4,4.5
3,10,69,32.0,16.5,78.0,0.2,32.8
3,11,70,32.8,19.0,79.0,0.6,0.6
3,12,71,31.6,18.7,81.0,0.8,1.25
3,13,72,31.5,19.4,77.0,0.4,12.0
3,14,73,32.0,18.4,81.0,0.4,3.75
3,15,74,33.0,17.9,80.0,0.6,9.1
3,16,75,31.8,18.5,79.0,0.4,13.85
3,17,76,32.8,18.5,78.0,0.8,0.25
3,18,77,32.5,17.0,77.0,0.4,0.7
3,19,78,32.6,18.0,77.0,0.2,2.0
3,20,79,32.0,18.0,84.0,0.4,0.7
3,21,80,32.0,18.4,81.0,0.4,2.9
3,22,81,32.8,18.0,80.0,0.2,0.6
3,23,82,32.0,18.0,77.0,0.2,3.0
3,24,83,30.4,19.0,79.0,0.6,1.8
3,25,84,32.0,18.5,77.0,0.0,0.0
3,26,85,32.5,19.0,78.0,0.4,16.0
3,27,86,31.5,19.0,78.0,1.0,1.4
3,28,87,32.0,20.0,83.0,0.8,3.1
3,29,88,32.0,18.2,79.0,0.6,4.2
3,30,89,32.5,19.5,77.0,0.4,1.3
3,31,90,33.0,19.0,78.0,0.6,4.4
4,1,91,33.2,18.5,83.0,0.4,5.9
4,2,92,31.8,19.0,83.0,0.6,3.1
4,3,93,31.6,17.5,78.0,0.2,32.4
4,4,94,33.0,18.8,74.0,0.2,1.0
4,5,95,32.0,18.5,77.0,0.2,34.9
4,6,96,32.0,17.5,81.0,0.4,18.5
4,7,97,32.0,18.0,78.0,0.4,27.0
4,8,98,31.0,18.5,80.0,0.6,10.9
4,9,99,30.0,18.5,84.0,0.8,5.0
4,10,100,31.0,18.8,84.0,0.4,5.85
4,11,101,32.0,17.5,76.0,0.4,32.05
4,12,102,31.6,18.0,86.0,0.2,2.3
4,13,103,33.0,18.0,76.0,0.2,2.0
4,14,104,32.0,18.0,79.0,0.4,18.7
4,15,105,33.0,19.0,83.0,0.8,5.85
4,16,106,32.0,19.2,79.0,0.4,30.2
4,17,107,32.0,18.8,82.0,0.8,9.5
4,18,108,31.5,18.4,79.0,0.6,2.0
4,19,109,30.5,18.5,87.0,0.6,4.4
4,20,110,32.0,19.0,81.0,0.4,12.45
4,21,111,32.5,19.0,79.0,0.8,3.7
4,22,112,32.5,19.0,77.0,0.4,11.75
4,23,113,32.5,19.0,77.0,0.4,11.2
4,24,114,32.0,18.5,80.0,0.2,1.2
4,25,115,33.0,19.5,78.0,0.4,2.85
4,26,116,31.0,19.1,81.0,0.4,2.45
4,27,117,32.0,19.0,77.0,0.4,9.1
4,28,118,33.0,18.2,76.0,0.2,6.6
4,29,119,33.2,19.5,81.0,0.6,4.2
4,30,120,31.0,18.5,82.0,0.8,1.3
5,1,121,32.5,19.0,80.0,0.6,1.6
5,2,122,31.2,19.0,81.0,0.6,0.8
5,3,123,30.8,19.0,83.0,0.6,10.8
5,4,124,33.0,19.2,80.0,0.4,10.9
5,5,125,32.5,21.0,74.0,0.4,17.6
5,6,126,32.4,19.5,75.0,0.6,1.4
5,7,127,32.7,19.5,79.0,0.6,4.6
5,8,128,32.5,20.5,81.0,0.8,6.75
5,9,129,32.0,19.7,78.0,0.4,11.3
5,10,130,31.8,20.0,76.0,0.4,2.9
5,11,131,33.0,19.2,77.0,0.4,9.2
5,12,132,31.5,20.0,80.0,0.6,5.6
5,13,133,31.5,19.8,84.0,0.6,5.6
5,14,134,32.0,20.0,81.0,1.0,15.7
5,15,135,32.0,20.5,83.0,0.6,23.0
5,16,136,32.5,19.8,79.0,0.6,1.8
5,17,137,32.8,21.0,77.0,0.8,1.5
5,18,138,32.4,20.0,80.0,0.8,13.0
5,19,139,30.6,20.4,81.0,1.0,1.2
5,20,140,32.5,20.0,80.0,0.8,5.7
5,21,141,31.5,19.5,81.0,0.6,6.3
5,22,142,32.0,19.8,81.0,0.8,3.2
5,23,143,32.4,19.7,80.0,0.6,2.5
5,24,144,31.9,19.3,82.0,0.6,15.8
5,25,145,31.0,19.2,88.0,0.4,18.3
5,26,146,31.5,20.0,83.0,0.8,34.55
5,27,147,31.5,19.5,82.0,0.8,6.15
5,28,148,32.5,20.0,80.0,0.8,4.75
5,29,149,32.0,20.0,80.0,1.0,7.1
5,30,150,30.1,19.0,86.0,0.6,3.7
5,31,151,29.5,19.5,84.0,0.6,27.2
6,1,152,30.5,20.5,82.0,1.0,4.5
6,2,153,31.5,19.0,83.0,0.4,7.9
6,3,154,32.0,19.2,80.0,0.4,10.9
6,4,155,32.5,19.8,80.0,0.6,9.6
6,5,156,31.0,19.8,82.0,0.8,14.6
6,6,157,31.2,20.0,81.0,0.6,18.3
6,7,158,29.5,19.8,86.0,0.8,15.25
6,8,159,31.1,19.2,82.0,1.0,4.2
6,9,160,31.5,19.5,83.0,0.8,8.2
6,10,161,30.0,19.5,89.0,0.8,15.8
6,11,162,31.5,19.8,82.0,0.6,38.4
6,12,163,32.5,19.4,84.0,1.0,4.7
6,13,164,31.8,19.8,82.0,0.8,8.85
6,14,165,31.0,19.4,83.0,1.0,1.8
6,15,166,31.6,19.2,83.0,0.8,8.45
6,16,167,31.8,20.0,84.0,1.0,4.6
6,17,168,32.0,19.6,86.0,0.8,8.75
6,18,169,32.0,19.6,82.0,0.8,24.1
6,19,170,31.2,19.5,83.0,0.8,3.3
6,20,171,29.3,19.2,85.0,0.8,29.3
6,21,172,31.0,19.0,84.0,1.0,11.8
6,22,173,30.8,19.0,86.0,1.0,6.6
6,23,174,32.0,19.1,80.0,0.8,2.3
6,24,175,32.0,19.2,82.0,0.6,6.8
6,25,176,31.5,20.0,81.0,0.8,10.25
6,26,177,29.5,19.5,83.0,1.0,15.4
6,27,178,30.0,19.4,86.0,0.8,8.4
6,28,179,30.6,20.0,83.0,0.8,8.1
6,29,180,30.0,19.5,84.0,0.6,1.8
6,30,181,31.7,20.0,84.0,0.6,21.6
7,1,182,31.7,19.5,82.0,1.0,5.4
7,2,183,31.7,19.5,82.0,0.6,2.2
7,3,184,28.8,19.2,87.0,0.8,13.3
7,4,185,29.8,19.0,84.0,1.0,12.1
7,5,186,30.6,19.8,84.0,0.8,8.25
7,6,187,30.9,19.8,86.0,0.6,3.1
7,7,188,31.5,19.6,83.0,0.6,5.4
7,8,189,30.5,19.6,82.0,1.0,13.3
7,9,190,30.1,19.4,85.0,1.0,1.8
7,10,191,32.0,19.9,83.0,0.6,22.7
7,11,192,31.0,19.8,88.0,0.8,20.75
7,12,193,30.5,19.2,86.0,1.0,8.6
7,13,194,29.4,18.8,89.0,0.8,12.4
7,14,195,31.0,19.6,85.0,0.8,4.8
7,15,196,29.5,19.4,85.0,0.8,7.25
7,16,197,29.0,19.2,89.0,0.6,8.1
7,17,198,29.6,20.0,85.0,0.8,5.3
7,18,199,29.0,19.8,89.0,0.8,13.9
7,19,200,28.4,19.0,89.0,1.0,8.6
7,20,201,30.5,19.2,84.0,0.8,13.5
7,21,202,29.5,19.6,88.0,0.6,7.6
7,22,203,31.0,20.1,85.0,0.6,20.7
7,23,204,30.5,20.0,82.0,0.4,34.55
7,24,205,30.0,19.2,82.0,0.6,2.2
7,25,206,31.2,19.5,85.0,0.4,9.65
7,26,207,30.3,19.9,83.0,0.6,16.4
7,27,208,30.1,19.4,87.0,0.6,8.2
7,28,209,30.0,19.2,84.0,1.0,15.8
7,29,210,30.5,20.0,83.0,0.8,9.35
7,30,211,30.2,19.2,87.0,1.0,7.4
7,31,212,30.5,19.5,84.0,0.6,2.2
8,1,213,31.0,19.4,82.0,0.6,4.2
8,2,214,31.0,19.4,81.0,0.8,6.35
8,3,215,30.5,19.8,81.0,1.0,5.8
8,4,216,31.0,19.5,81.0,1.0,10.9
8,5,217,31.0,19.2,84.0,0.6,8.2
8,6,218,32.0,20.0,79.0,0.6,22.8
8,7,219,31.0,19.8,86.0,0.6,53.8
8,8,220,30.0,19.0,85.0,0.8,5.65
8,9,221,30.5,19.4,81.0,0.8,5.1
8,10,222,30.8,19.5,83.0,0.6,1.6
8,11,223,32.3,19.5,82.0,0.8,15.1
8,12,224,32.0,19.5,83.0,0.8,14.75
8,13,225,29.6,19.6,89.0,1.0,5.0
8,14,226,30.5,19.5,84.0,0.8,3.0
8,15,227,29.8,20.2,83.0,0.4,2.0
8,16,228,30.8,19.5,84.0,0.6,6.8
8,17,229,29.8,19.1,87.0,1.0,11.4
8,18,230,29.6,19.5,86.0,0.8,4.15
8,19,231,30.5,19.4,82.0,1.0,24.8
8,20,232,30.4,19.8,88.0,1.0,7.6
8,21,233,30.5,20.0,82.0,0.8,6.4
8,22,234,31.5,19.5,86.0,0.8,7.85
8,23,235,30.8,19.8,83.0,0.8,7.2
8,24,236,32.0,18.5,80.0,0.8,8.7
8,25,237,31.5,19.0,86.0,0.8,24.6
8,26,238,31.2,19.6,83.0,0.8,13.55
8,27,239,31.0,19.5,84.0,0.8,32.7
8,28,240,30.0,19.0,84.0,0.6,17.0
8,29,241,30.5,18.8,83.0,0.8,4.5
8,30,242,30.4,18.5,88.0,0.6,8.2
8,31,243,32.1,19.5,84.0,0.8,1.4
9,1,244,32.0,19.5,85.0,1.0,23.4
9,2,245,31.5,20.0,82.0,0.4,30.8
9,3,246,31.8,20.0,82.0,0.6,14.4
9,4,247,30.5,19.5,85.0,1.0,2.8
9,5,248,31.0,19.7,83.0,1.0,5.2
9,6,249,31.0,19.3,83.0,0.8,1.4
9,7,250,30.6,19.6,83.0,0.6,4.2
9,8,251,31.0,19.5,86.0,0.8,20.2
9,9,252,31.0,19.5,83.0,1.0,32.1
9,10,253,29.0,19.0,87.0,0.8,6.4
9,11,254,30.8,19.0,82.0,0.6,2.6
9,12,255,30.5,19.5,85.0,0.6,12.0
9,13,256,31.0,20.0,81.0,0.8,6.75
9,14,257,28.5,19.0,88.0,1.0,25.4
9,15,258,28.8,19.5,89.0,0.6,22.0
9,16,259,29.0,19.0,88.0,1.0,5.8
9,17,260,29.0,19.2,85.0,0.8,0.9
9,18,261,31.5,19.0,82.0,0.8,2.4
9,19,262,32.0,19.5,83.0,0.6,0.8
9,20,263,32.0,18.5,80.0,1.0,8.6
9,21,264,32.0,19.3,82.0,0.8,10.1
9,22,265,32.5,19.0,84.0,0.8,8.7
9,23,266,31.0,19.5,79.0,0.6,5.0
9,24,267,29.5,19.9,88.0,0.8,14.7
9,25,268,31.0,19.0,85.0,0.6,5.5
9,26,269,29.8,19.0,85.0,0.8,2.75
9,27,270,29.8,19.5,86.0,0.8,8.2
9,28,271,29.5,19.3,87.0,0.8,25.0
9,29,272,31.5,19.5,82.0,0.8,15.8
9,30,273,32.0,19.0,80.0,1.0,9.6
10,1,274,32.2,19.4,82.0,1.0,12.4
10,2,275,31.0,18.5,82.0,0.8,17.2
10,3,276,31.0,19.5,86.0,0.6,3.8
10,4,277,31.2,18.8,82.0,0.6,8.21
10,5,278,31.0,19.5,84.0,0.8,13.15
10,6,279,30.5,19.5,86.0,1.0,4.4
10,7,280,31.0,19.6,81.0,0.4,9.2
10,8,281,31.5,20.0,83.0,0.6,6.6
10,9,282,32.0,19.6,84.0,0.8,10.45
10,10,283,30.6,20.0,83.0,0.8,3.3
10,11,284,28.5,20.0,89.0,1.0,4.3
10,12,285,30.6,19.0,85.0,1.0,12.0
10,13,286,30.6,19.5,83.0,1.0,6.6
10,14,287,30.5,19.6,86.0,0.8,18.65
10,15,288,30.2,19.5,86.0,1.0,27.0
10,16,289,31.8,20.0,83.0,0.8,8.5
10,17,290,31.5,19.0,82.0,1.0,6.0
10,18,291,31.5,19.5,84.0,0.4,10.9
10,19,292,32.0,19.5,82.0,0.8,18.1
10,20,293,31.0,19.5,86.0,0.8,3.85
10,21,294,31.0,19.0,86.0,0.8,2.15
10,22,295,30.8,20.0,89.0,0.8,5.8
10,23,296,31.0,19.5,83.0,0.8,2.5
10,24,297,31.0,20.0,84.0,0.6,2.6
10,25,298,30.0,19.5,85.0,0.8,7.1
10,26,299,28.8,19.5,91.0,0.6,2.0
10,27,300,30.5,19.0,87.0,0.6,2.4
10,28,301,32.2,19.0,86.0,0.8,1.95
10,29,302,30.5,19.6,84.0,0.4,2.65
10,30,303,31.5,19.4,80.0,0.6,5.0
10,31,304,31.7,18.5,83.5,0.8,1.35
11,1,305,31.0,19.5,81.0,1.0,7.3
11,2,306,32.0,19.2,81.0,0.4,12.15
11,3,307,31.0,19.0,86.0,0.8,2.85
11,4,308,31.5,18.5,83.0,0.8,4.3
11,5,309,32.0,19.5,82.0,0.6,5.5
11,6,310,32.5,19.8,81.0,0.2,24.2
11,7,311,32.5,20.0,79.0,0.8,6.85
11,8,312,31.5,19.8,81.0,0.2,39.4
11,9,313,29.5,19.0,87.0,0.8,4.8
11,10,314,31.5,20.0,81.0,0.8,12.4
11,11,315,31.0,19.0,87.0,1.0,6.4
11,12,316,31.0,19.5,87.0,0.8,2.3
11,13,317,33.4,19.5,79.0,0.4,10.0
11,14,318,32.0,19.0,79.0,0.4,9.05
11,15,319,32.5,19.5,83.0,0.8,12.1
11,16,320,30.2,19.5,85.0,0.8,10.3
11,17,321,32.0,19.5,83.0,0.4,22.4
11,18,322,29.5,20.0,85.0,0.6,4.5
11,19,323,30.0,19.8,87.0,0.6,14.0
11,20,324,32.5,19.4,81.0,0.6,1.4
11,21,325,32.5,20.1,79.0,0.6,28.6
11,22,326,32.6,20.0,82.0,0.6,2.6
11,23,327,31.0,20.0,81.0,0.8,1.15
11,24,328,30.0,19.0,84.0,1.0,3.4
11,25,329,30.0,18.5,82.0,0.6,1.8
11,26,330,32.5,18.2,80.0,0.6,1.9
11,27,331,30.2,19.0,90.0,0.6,0.3
11,28,332,30.0,19.6,84.0,0.8,1.0
11,29,333,30.0,19.0,86.0,0.4,13.9
11,30,334,31.8,19.0,84.0,0.8,10.4
12,1,335,31.0,19.0,84.0,0.6,0.7
12,2,336,32.0,20.0,83.0,0.4,22.8
12,3,337,32.0,18.5,85.0,0.4,2.05
12,4,338,32.4,19.0,83.0,0.6,8.2
12,5,339,29.5,18.4,85.0,0.6,12.8
12,6,340,30.5,19.6,81.0,0.4,1.3
12,7,341,30.8,19.5,83.0,0.6,1.2
12,8,342,30.0,19.5,83.0,0.8,9.6
12,9,343,32.0,19.5,81.0,0.8,4.7
12,10,344,29.5,19.5,86.0,1.0,1.0
12,11,345,32.5,19.0,77.0,0.4,8.7
12,12,346,32.0,19.5,79.0,0.4,6.2
12,13,347,31.7,18.5,81.0,0.8,5.2
12,14,348,31.5,18.0,86.0,0.6,4.8
12,15,349,30.5,19.2,81.0,0.6,2.6
12,16,350,28.5,18.8,85.0,1.0,1.7
12,17,351,29.0,18.8,86.0,0.8,7.4
12,18,352,30.6,18.5,85.0,0.8,18.4
12,19,353,30.0,19.1,86.0,0.6,5.4
12,20,354,31.8,19.0,83.0,0.6,8.4
12,21,355,30.0,19.0,84.0,0.8,4.5
12,22,356,30.6,19.0,84.0,0.6,1.0
12,23,357,31.0,19.0,82.0,0.8,2.0
12,24,358,30.2,19.0,87.0,0.6,2.2
12,25,359,29.0,19.0,90.0,0.8,20.9
12,26,360,30.0,19.8,89.0,0.8,8.3
12,27,361,29.0,20.0,90.0,0.6,8.4
12,28,362,30.0,18.2,84.0,0.6,6.8
12,29,363,31.8,19.6,82.0,1.0,2.2
12,30,364,31.5,19.0,82.0,0.6,1.2
12,31,365,29.8,18.8,83.0,0.8,3.45
