MONTH,DAY,DOY,TMAX,TMIN,RH,pWet,WetAmount
2,28,59,31.4,21.8,67.0,0.0,0.0
3,1,60,30.5,22.8,77.0,0.0,0.0
3,2,61,30.7,22.5,74.0,0.0,0.0
3,3,62,31.3,22.1,68.0,0.0,0.0
3,4,63,30.4,21.9,76.0,0.0,0.0
3,5,64,31.0,21.5,78.0,0.0,0.0
3,6,65,31.6,22.4,70.0,0.0,0.0
3,7,66,30.7,22.1,71.0,0.0,0.0
3,8,67,30.9,22.0,65.0,0.0,0.0
3,9,68,32.4,21.3,64.0,0.0,0.0
3,10,69,32.7,22.4,59.0,0.0,0.0
3,11,70,32.5,23.0,68.0,0.0,0.0
3,12,71,31.2,22.6,66.0,0.0,0.0
3,13,72,32.1,22.4,58.0,0.0,0.0
3,14,73,31.2,23.0,69.0,0.0,0.0
3,15,74,30.3,22.5,70.0,0.0,0.0
3,16,75,31.6,22.2,79.0,0.2,1.2
3,17,76,30.6,22.2,78.0,0.0,0.0
3,18,77,30.6,23.2,77.0,0.0,0.0
3,19,78,31.3,23.2,76.0,0.0,0.0
3,20,79,30.4,22.0,76.0,0.0,0.0
3,21,80,31.2,23.0,72.0,0.0,0.0
3,22,81,30.6,23.0,76.0,0.0,0.0
3,23,82,31.2,23.3,77.0,0.0,0.0
3,24,83,31.8,23.7,76.0,0.0,0.0
3,25,84,31.7,23.7,78.0,0.0,0.0
3,26,85,31.5,24.2,76.0,0.0,0.0
3,27,86,32.4,24.0,76.0,0.0,0.0
3,28,87,31.7,24.0,78.0,0.0,0.0
3,29,88,32.2,24.0,77.0,0.0,0.0
3,30,89,31.6,24.8,75.0,0.0,0.0
3,31,90,32.2,24.7,79.0,0.0,0.0
4,1,91,31.8,24.1,74.0,0.0,0.0
4,2,92,32.2,24.5,72.0,0.0,0.0
4,3,93,31.8,24.2,71.0,0.0,0.0
4,4,94,32.4,24.2,74.0,0.0,0.0
4,5,95,32.6,24.0,65.0,0.0,0.0
4,6,96,32.4,24.2,72.0,0.0,0.0
4,7,97,32.8,25.0,69.0,0.2,1.6
4,8,98,32.6,23.1,72.0,0.2,0.3
4,9,99,32.8,23.4,67.0,0.0,0.0
4,10,100,33.2,24.1,65.0,0.0,0.0
4,11,101,31.9,24.0,69.0,0.0,0.0
4,12,102,32.0,24.2,75.0,0.0,0.0
4,13,103,32.2,25.2,75.0,0.0,0.0
4,14,104,32.0,25.7,74.0,0.0,0.0
4,15,105,32.2,23.3,75.0,0.0,0.0
4,16,106,32.6,24.5,71.0,0.0,0.0
4,17,107,32.6,24.5,74.0,0.0,0.0
4,18,108,33.0,23.9,72.0,0.0,0.0
4,19,109,32.8,24.5,68.0,0.0,0.0
4,20,110,32.4,25.0,75.0,0.0,0.0
4,21,111,32.8,25.5,77.0,0.0,0.0
4,22,112,33.1,24.8,76.0,0.0,0.0
4,23,113,33.8,23.8,73.0,0.0,0.0
4,24,114,33.6,24.7,69.0,0.0,0.0
4,25,115,33.0,25.0,71.0,0.0,0.0
4,26,116,33.0,25.0,72.0,0.0,0.0
4,27,117,33.3,24.9,73.0,0.0,0.0
4,28,118,32.8,25.2,74.0,0.0,0.0
4,29,119,33.0,24.9,73.0,0.0,0.0
4,30,120,32.8,25.2,73.0,0.0,0.0
5,1,121,33.6,25.2,73.0,0.0,0.0
5,2,122,33.4,25.2,71.0,0.0,0.0
5,3,123,33.9,25.1,71.0,0.0,0.0
5,4,124,33.0,25.3,74.0,0.0,0.0
5,5,125,33.2,25.7,75.0,0.0,0.0
5,6,126,33.8,25.3,74.0,0.0,0.0
5,7,127,33.7,25.8,72.0,0.0,0.0
5,8,128,34.0,26.0,72.0,0.0,0.0
5,9,129,33.8,26.0,70.0,0.0,0.0
5,10,130,33.3,25.7,69.0,0.0,0.0
5,11,131,33.4,25.6,76.0,0.2,6.8
5,12,132,33.6,25.6,73.0,0.0,0.0
5,13,133,33.4,25.6,72.0,0.0,0.0
5,14,134,33.6,25.9,71.0,0.0,0.0
5,15,135,33.7,26.1,73.0,0.2,2.8
5,16,136,33.6,26.0,76.0,0.4,20.55
5,17,137,33.1,25.6,76.0,0.4,1.85
5,18,138,33.2,26.0,76.0,0.2,5.3
5,19,139,33.0,25.8,78.0,0.2,28.7
5,20,140,33.8,26.5,73.0,0.4,37.05
5,21,141,33.6,26.2,76.0,0.4,13.2
5,22,142,33.3,25.5,77.0,0.4,20.6
5,23,143,33.9,25.2,79.0,0.6,15.8
5,24,144,33.2,24.3,79.0,0.6,55.2
5,25,145,32.4,26.4,81.0,0.4,3.75
5,26,146,33.4,25.4,78.0,0.4,8.15
5,27,147,33.4,25.6,75.0,0.0,0.0
5,28,148,32.8,25.5,75.0,0.6,2.2
5,29,149,33.0,25.5,78.0,0.6,10.2
5,30,150,33.0,26.2,78.0,0.2,4.0
5,31,151,33.3,26.0,78.0,0.6,3.8
6,1,152,33.2,26.0,81.0,0.4,15.7
6,2,153,33.4,26.9,77.0,0.4,6.55
6,3,154,33.1,25.0,82.0,0.8,4.7
6,4,155,32.4,25.6,79.0,0.6,3.4
6,5,156,32.4,25.6,80.0,0.6,0.7
6,6,157,32.4,24.8,83.0,0.6,5.0
6,7,158,32.4,25.7,83.0,0.6,5.1
6,8,159,32.3,25.6,80.0,0.4,2.7
6,9,160,33.1,24.8,82.0,0.6,12.3
6,10,161,33.0,25.6,80.0,0.6,6.1
6,11,162,32.9,26.5,81.0,0.8,5.6
6,12,163,32.5,26.1,80.0,0.6,0.5
6,13,164,32.6,24.9,79.0,0.6,19.0
6,14,165,32.5,25.2,80.0,0.6,0.3
6,15,166,32.6,24.8,80.0,0.4,0.1
6,16,167,32.6,25.4,79.0,0.0,0.0
6,17,168,32.5,25.0,78.0,0.0,0.0
6,18,169,32.6,25.6,78.0,0.4,1.9
6,19,170,33.1,25.3,76.0,0.4,5.0
6,20,171,32.8,25.6,80.0,0.6,10.0
6,21,172,32.6,25.6,82.0,0.6,12.6
6,22,173,32.8,25.0,78.0,0.6,2.0
6,23,174,32.7,25.0,80.0,0.6,8.0
6,24,175,32.7,24.5,78.0,0.8,13.3
6,25,176,32.4,24.8,84.0,0.4,3.2
6,26,177,32.9,25.0,83.0,0.6,8.2
6,27,178,32.3,24.6,82.0,0.6,13.7
6,28,179,32.3,24.8,84.0,0.6,8.0
6,29,180,32.5,25.1,83.0,0.6,9.0
6,30,181,32.8,25.2,83.0,0.2,0.4
7,1,182,32.2,25.8,79.0,0.2,0.9
7,2,183,33.3,25.4,78.0,0.4,31.4
7,3,184,32.6,26.2,79.0,0.4,23.05
7,4,185,32.8,26.0,76.0,0.2,37.5
7,5,186,32.7,24.8,81.0,0.8,1.4
7,6,187,32.8,24.8,81.0,0.6,0.7
7,7,188,32.6,25.5,83.0,0.4,10.15
7,8,189,32.4,24.8,83.0,0.2,0.5
7,9,190,32.5,25.6,79.0,0.4,5.2
7,10,191,33.2,25.5,82.0,0.6,0.3
7,11,192,32.5,25.3,82.0,0.4,1.75
7,12,193,32.6,25.0,81.0,0.6,0.4
7,13,194,33.3,24.5,87.0,1.0,24.8
7,14,195,31.7,25.0,88.0,0.8,6.15
7,15,196,31.4,25.2,83.0,0.6,4.6
7,16,197,32.8,25.8,82.0,0.2,3.5
7,17,198,32.8,24.7,83.0,0.4,0.25
7,18,199,32.2,25.1,85.0,0.8,2.7
7,19,200,32.4,24.7,82.0,0.4,20.8
7,20,201,31.8,24.6,85.0,0.8,25.4
7,21,202,32.4,25.6,87.0,0.8,8.1
7,22,203,32.3,25.7,84.0,0.4,107.15
7,23,204,32.4,25.0,85.0,0.6,87.0
7,24,205,31.8,25.2,84.0,0.8,43.5
7,25,206,29.6,25.2,90.0,0.6,101.2
7,26,207,29.4,24.7,88.0,1.0,7.0
7,27,208,32.4,24.7,84.0,0.6,16.6
7,28,209,31.8,24.7,85.0,0.6,24.4
7,29,210,31.4,25.3,83.0,0.6,6.5
7,30,211,31.6,25.2,84.0,0.8,1.7
7,31,212,31.8,25.6,82.0,0.8,4.25
8,1,213,30.4,25.7,89.0,0.8,17.35
8,2,214,31.0,25.8,86.0,0.6,60.2
8,3,215,31.8,26.1,83.0,0.8,15.25
8,4,216,31.4,25.2,85.0,0.8,5.05
8,5,217,32.4,25.8,83.0,0.6,6.7
8,6,218,32.4,26.6,85.0,0.6,4.3
8,7,219,31.2,26.3,84.0,0.6,6.0
8,8,220,31.6,25.1,87.0,1.0,19.4
8,9,221,31.8,25.6,85.0,0.8,4.15
8,10,222,31.2,25.2,86.0,0.8,14.15
8,11,223,31.8,25.3,82.0,0.6,4.2
8,12,224,32.3,24.9,84.0,0.6,3.2
8,13,225,32.0,24.8,87.0,0.8,11.05
8,14,226,32.3,24.8,84.0,0.4,6.85
8,15,227,32.1,24.8,85.0,0.8,12.4
8,16,228,31.7,25.3,85.0,0.6,2.1
8,17,229,32.3,25.0,83.0,0.6,1.9
8,18,230,31.8,24.8,87.0,0.4,29.4
8,19,231,31.4,24.8,87.0,0.8,0.7
8,20,232,32.1,24.3,86.0,0.6,17.8
8,21,233,31.8,25.0,83.0,0.4,22.6
8,22,234,31.4,24.5,82.0,0.4,89.0
8,23,235,32.1,24.4,81.0,0.6,10.4
8,24,236,32.2,25.0,82.0,0.8,5.05
8,25,237,31.2,25.2,85.0,0.6,42.8
8,26,238,32.0,24.4,82.0,0.6,15.0
8,27,239,31.6,24.7,83.0,0.2,0.1
8,28,240,32.2,25.5,81.0,0.4,16.25
8,29,241,32.0,24.2,87.0,0.8,35.3
8,30,242,30.7,24.6,89.0,0.6,6.7
8,31,243,31.3,24.8,88.0,0.8,22.2
9,1,244,31.5,25.1,85.0,0.8,18.1
9,2,245,31.8,24.8,87.0,0.8,33.55
9,3,246,30.0,24.6,88.0,0.8,27.95
9,4,247,31.2,24.6,88.0,0.8,13.3
9,5,248,30.8,25.0,89.0,0.8,16.5
9,6,249,30.9,25.0,85.0,0.8,1.65
9,7,250,31.9,25.4,84.0,0.2,3.1
9,8,251,32.1,25.0,83.0,0.4,60.35
9,9,252,31.8,24.9,84.0,0.4,1.55
9,10,253,31.2,24.6,85.0,0.6,27.8
9,11,254,31.6,24.7,85.0,0.6,17.0
9,12,255,32.0,24.5,83.0,0.6,3.8
9,13,256,32.1,24.9,84.0,0.4,6.8
9,14,257,32.1,24.8,83.0,0.0,0.0
9,15,258,31.8,24.9,83.0,0.6,4.2
9,16,259,31.5,25.0,83.0,0.4,28.95
9,17,260,31.4,25.0,85.0,0.4,1.85
9,18,261,32.2,25.4,86.0,0.4,4.55
9,19,262,32.0,25.2,85.0,0.4,3.6
9,20,263,32.1,24.6,84.0,0.2,43.7
9,21,264,31.9,24.8,85.0,0.6,1.9
9,22,265,32.3,24.8,84.0,0.4,0.8
9,23,266,32.8,24.9,82.0,0.2,2.9
9,24,267,32.4,25.2,78.0,0.2,3.2
9,25,268,33.0,25.4,83.0,0.6,5.3
9,26,269,32.2,25.3,84.0,0.4,21.6
9,27,270,32.2,25.0,83.0,0.4,9.35
9,28,271,32.0,25.4,84.0,0.4,9.7
9,29,272,31.8,24.9,83.0,0.6,0.6
9,30,273,31.6,24.8,84.0,0.4,240.9
10,1,274,31.5,24.8,85.0,0.4,41.1
10,2,275,31.8,24.2,80.0,0.6,3.8
10,3,276,33.4,24.8,73.0,0.4,5.7
10,4,277,31.3,25.0,81.0,0.4,14.85
10,5,278,31.6,24.9,86.0,0.4,14.9
10,6,279,33.6,23.6,76.0,0.4,33.55
10,7,280,32.2,24.8,75.0,0.4,2.65
10,8,281,32.2,24.1,82.0,0.2,3.8
10,9,282,33.0,25.0,78.0,0.2,2.4
10,10,283,31.5,24.3,80.0,0.6,11.9
10,11,284,30.0,25.1,84.0,0.8,1.6
10,12,285,30.4,24.0,86.0,1.0,7.6
10,13,286,33.2,24.6,79.0,0.4,1.85
10,14,287,33.4,25.4,79.0,0.2,0.2
10,15,288,32.6,24.6,82.0,0.4,50.6
10,16,289,32.0,24.2,84.0,0.6,4.0
10,17,290,32.8,24.6,80.0,0.0,0.0
10,18,291,33.4,24.1,76.0,0.2,16.9
10,19,292,34.0,24.8,74.0,0.2,24.4
10,20,293,32.0,25.4,80.0,0.4,18.6
10,21,294,32.4,24.6,83.0,0.6,1.2
10,22,295,32.4,24.4,80.0,0.4,21.8
10,23,296,31.4,24.9,84.0,0.4,8.0
10,24,297,31.4,25.0,82.0,0.6,8.4
10,25,298,31.3,24.2,81.0,0.4,9.0
10,26,299,32.6,23.5,78.0,0.2,1.0
10,27,300,32.4,24.4,77.0,0.0,0.0
10,28,301,31.3,24.0,80.0,0.2,6.6
10,29,302,31.4,25.0,79.0,0.6,3.4
10,30,303,29.8,25.4,79.0,0.4,3.9
10,31,304,31.9,23.8,70.0,0.4,0.3
11,1,305,32.1,25.0,71.0,0.4,0.7
11,2,306,32.1,24.2,84.0,0.2,3.8
11,3,307,32.3,23.7,78.0,0.4,0.85
11,4,308,32.4,24.6,77.0,0.4,0.8
11,5,309,32.1,24.0,78.0,0.2,7.6
11,6,310,31.2,23.7,81.0,0.0,0.0
11,7,311,32.1,24.2,76.0,0.4,43.95
11,8,312,31.1,24.2,81.0,0.4,7.4
11,9,313,31.1,24.2,81.0,0.2,0.2
11,10,314,32.0,24.2,80.0,0.4,0.5
11,11,315,32.1,24.2,77.0,0.4,16.4
11,12,316,32.6,24.5,82.0,0.2,6.4
11,13,317,31.6,24.6,81.0,0.2,0.8
11,14,318,33.3,24.5,74.0,0.2,52.2
11,15,319,32.2,25.1,73.0,0.2,1.4
11,16,320,32.0,24.2,76.0,0.0,0.0
11,17,321,32.2,24.5,76.0,0.4,3.8
11,18,322,30.8,23.4,74.0,0.0,0.0
11,19,323,32.4,24.0,75.0,0.0,0.0
11,20,324,32.5,23.5,75.0,0.0,0.0
11,21,325,31.9,23.2,78.0,0.0,0.0
11,22,326,32.1,23.4,76.0,0.0,0.0
11,23,327,32.0,25.0,72.0,0.0,0.0
11,24,328,33.5,23.7,69.0,0.0,0.0
11,25,329,32.6,24.2,67.0,0.0,0.0
11,26,330,32.6,24.1,75.0,0.0,0.0
11,27,331,31.5,23.8,75.0,0.2,1.7
11,28,332,31.4,23.7,74.0,0.0,0.0
11,29,333,31.5,24.4,74.0,0.0,0.0
11,30,334,32.8,24.5,69.0,0.0,0.0
12,1,335,31.4,22.4,72.0,0.0,0.0
12,2,336,31.8,24.0,72.0,0.0,0.0
12,3,337,31.1,23.8,75.0,0.2,0.1
12,4,338,29.0,24.2,76.0,0.0,0.0
12,5,339,30.9,24.2,72.0,0.0,0.0
12,6,340,31.6,23.5,74.0,0.0,0.0
12,7,341,31.7,24.8,75.0,0.2,0.3
12,8,342,30.8,24.0,79.0,0.0,0.0
12,9,343,31.2,23.0,79.0,0.0,0.0
12,10,344,31.9,23.2,75.0,0.0,0.0
12,11,345,31.8,23.2,78.0,0.0,0.0
12,12,346,32.2,23.2,78.0,0.0,0.0
12,13,347,32.0,23.4,73.0,0.0,0.0
12,14,348,32.8,23.3,71.0,0.0,0.0
12,15,349,31.5,23.7,68.0,0.0,0.0
12,16,350,31.2,22.7,72.0,0.0,0.0
12,17,351,31.8,23.9,69.0,0.0,0.0
12,18,352,32.5,23.9,64.0,0.0,0.0
12,19,353,30.2,24.3,69.0,0.4,0.15
12,20,354,31.4,24.6,72.0,0.0,0.0
12,21,355,30.4,23.8,73.0,0.2,2.0
12,22,356,30.2,23.0,65.0,0.0,0.0
12,23,357,30.5,23.2,69.0,0.0,0.0
12,24,358,29.4,24.1,75.0,0.0,0.0
12,25,359,31.6,23.4,67.0,0.0,0.0
12,26,360,31.0,24.0,69.0,0.0,0.0
12,27,361,32.0,23.1,73.0,0.0,0.0
12,28,362,30.7,22.1,69.0,0.0,0.0
12,29,363,31.0,23.0,76.0,0.4,1.25
12,30,364,32.1,24.0,71.0,0.0,0.0
12,31,365,31.2,24.6,69.0,0.0,0.0
